EmployeeID,JoinDate,Department,Location,Age,Gender,Education,ExperienceYears,IsRemote,HasMentorAssigned,HasManagerMeetingScheduled,HRIntroCompleted,DeviceDeliveredOnTime,LoggedInFirstWeek,AttendedWelcomeSession,TotalDaysActive,Churned
EMP1000,12-04-2024,Finance,India,38,Male,PhD,4,0,0,0,1,1,1,1,503,0
EMP1001,14-12-2024,Engineering,Canada,37,Female,Masters,5,1,1,1,1,1,1,1,257,0
EMP1002,27-09-2024,Engineering,Singapore,23,Male,Masters,6,0,0,1,1,1,1,1,335,0
EMP1003,16-04-2024,Marketing,UK,49,Male,Masters,9,1,1,0,0,1,1,1,499,1
EMP1004,12-03-2024,Marketing,Germany,43,Female,Masters,9,0,0,1,0,0,1,1,534,1
EMP1005,07-07-2024,Product,UK,41,Male,Bachelors,7,0,1,0,0,1,1,1,417,1
EMP1006,21-01-2024,Marketing,Canada,27,Male,Bachelors,8,0,1,1,1,1,1,1,585,0
EMP1007,12-04-2024,HR,India,49,Male,Masters,10,1,1,1,1,1,1,1,503,0
EMP1008,01-05-2024,Finance,Canada,46,Male,Bachelors,3,0,1,1,0,1,1,1,484,0
EMP1009,02-08-2024,Marketing,US,31,Male,Bachelors,4,0,0,0,1,1,1,1,391,0
EMP1010,26-11-2024,Sales,US,49,Female,Bachelors,14,0,0,1,1,1,0,1,275,0
EMP1011,28-03-2024,Product,Germany,31,Male,Bachelors,4,1,1,1,1,1,0,1,518,0
EMP1012,09-04-2024,Sales,Canada,29,Female,Masters,7,0,1,1,1,1,1,1,506,0
EMP1013,25-12-2024,Engineering,Germany,22,Female,Masters,8,0,1,1,1,1,1,0,246,0
EMP1014,31-05-2024,Finance,Germany,34,Female,Bachelors,6,0,1,1,1,1,1,1,454,0
EMP1015,10-05-2024,Marketing,US,45,Male,Bachelors,14,1,1,1,1,0,1,1,475,0
EMP1016,29-05-2024,Sales,Germany,30,Male,Masters,4,1,0,1,1,1,1,0,456,0
EMP1017,04-11-2024,Finance,US,43,Female,Masters,2,1,1,1,1,1,1,0,297,0
EMP1018,14-09-2024,Engineering,India,31,Male,PhD,0,0,1,1,1,1,1,1,348,0
EMP1019,09-12-2024,HR,Canada,36,Female,Bachelors,10,0,1,1,1,1,1,1,262,0
EMP1020,20-10-2024,Product,Germany,26,Male,Bachelors,8,1,1,1,1,1,1,0,312,0
EMP1021,10-07-2024,Finance,US,43,Male,Bachelors,4,0,0,0,1,1,0,1,414,1
EMP1022,03-10-2024,Finance,UK,37,Female,PhD,8,0,1,0,1,1,1,0,329,0
EMP1023,09-06-2024,HR,Germany,34,Male,Masters,9,0,0,1,1,1,1,1,445,0
EMP1024,09-11-2024,Finance,Singapore,43,Female,Masters,14,1,1,1,1,1,1,1,292,0
EMP1025,22-01-2024,Engineering,India,46,Male,Bachelors,11,0,1,1,1,1,1,1,584,0
EMP1026,09-09-2024,Engineering,India,41,Female,Masters,12,0,1,1,1,1,1,0,353,0
EMP1027,23-08-2024,HR,UK,39,Male,Masters,13,1,1,1,1,1,1,1,370,0
EMP1028,10-12-2024,Product,US,32,Female,Bachelors,3,0,0,1,1,1,0,1,261,0
EMP1029,18-02-2024,Marketing,Germany,48,Female,Bachelors,4,0,1,0,1,1,1,0,557,0
EMP1030,28-02-2024,Sales,US,30,Male,Bachelors,3,1,1,1,1,1,1,1,547,0
EMP1031,18-06-2024,Marketing,India,37,Male,Bachelors,1,1,1,1,1,1,1,1,436,0
EMP1032,06-07-2024,Finance,US,23,Female,Bachelors,11,1,0,1,1,1,1,1,418,0
EMP1033,27-09-2024,Sales,India,47,Male,Bachelors,0,0,0,0,0,1,1,1,335,1
EMP1034,08-07-2024,HR,US,46,Male,Bachelors,7,0,0,1,1,1,1,1,416,0
EMP1035,23-06-2024,HR,UK,23,Male,Bachelors,3,1,1,1,0,1,1,1,431,0
EMP1036,20-02-2024,Product,Canada,33,Female,Bachelors,4,0,0,1,1,0,1,1,555,0
EMP1037,29-12-2024,Sales,UK,29,Female,Masters,5,1,1,1,1,1,1,1,242,0
EMP1038,24-02-2024,Engineering,UK,30,Female,Bachelors,13,1,1,1,1,0,1,0,551,1
EMP1039,31-08-2024,Sales,Canada,33,Female,Masters,7,0,1,1,0,0,1,1,362,1
EMP1040,15-11-2024,Finance,Canada,47,Male,Bachelors,10,1,1,0,1,1,1,0,286,0
EMP1041,10-05-2024,Engineering,Germany,30,Female,Masters,7,1,0,1,1,1,1,0,475,0
EMP1042,02-11-2024,HR,Germany,31,Male,Bachelors,6,0,1,0,0,1,1,1,299,1
EMP1043,14-05-2024,Sales,UK,46,Female,Masters,3,0,1,1,1,0,0,1,471,1
EMP1044,21-01-2024,Marketing,UK,23,Female,Bachelors,5,0,1,1,1,1,1,0,585,0
EMP1045,24-11-2024,Product,India,37,Male,Masters,3,0,1,1,1,1,1,1,277,0
EMP1046,15-06-2024,Marketing,India,41,Female,Bachelors,14,0,0,0,1,0,1,1,439,1
EMP1047,30-09-2024,Product,Germany,28,Male,Masters,13,0,1,1,1,0,1,1,332,0
EMP1048,29-03-2024,Finance,Singapore,49,Female,Bachelors,6,1,1,1,1,1,1,0,517,0
EMP1049,11-11-2024,Marketing,Singapore,23,Male,Bachelors,11,1,1,1,1,0,1,1,290,0
EMP1050,14-01-2024,Sales,Germany,22,Female,Bachelors,12,0,0,1,1,0,1,1,592,0
EMP1051,29-08-2024,Sales,India,40,Female,Masters,11,0,0,1,1,1,1,1,364,0
EMP1052,21-09-2024,Marketing,India,49,Female,PhD,14,0,1,0,0,1,1,1,341,1
EMP1053,11-12-2024,Sales,Singapore,25,Male,Masters,12,1,1,1,1,1,1,1,260,0
